timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624645282478,2964,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-116,text,true,,400833,1454,76,76,http://localhost:8082/createalbum.html,55,0,51
1624645282313,3462,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-195,text,true,,400841,1454,84,84,http://localhost:8082/createalbum.html,3,0,1
1624645281803,3671,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-199,text,true,,400833,1454,80,80,http://localhost:8082/createalbum.html,13,0,2
1624645282313,3,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-195,text,true,,4825,132,84,84,http://localhost:8082/createalbum.html,3,0,1
1624645281803,15,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-199,text,true,,4825,132,80,80,http://localhost:8082/createalbum.html,13,0,2
1624645282317,28,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-195,text,true,,1567,130,84,84,http://localhost:8082/css/tracks.css,28,0,0
1624645282478,55,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-116,text,true,,4825,132,76,76,http://localhost:8082/createalbum.html,55,0,51
1624645281854,2,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-199,text,true,,1567,130,80,80,http://localhost:8082/css/tracks.css,2,0,0
1624645282346,247,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-195,text,true,,32170,168,84,84,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,244,0,187
1624645282534,4,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-116,text,true,,1567,130,76,76,http://localhost:8082/css/tracks.css,4,0,0
1624645282018,509,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-199,text,true,,32162,168,80,80,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,499,0,455
1624645282603,584,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-195,text,true,,161472,165,84,84,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,286,0,236
1624645282539,182,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-116,text,true,,32162,168,76,76,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,179,0,87
1624645282631,705,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-199,text,true,,161472,165,80,80,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,303,0,221
1624645283378,8,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-195,bin,true,,38483,133,84,84,http://localhost:8082/img/choonzimg.png,8,0,0
1624645282723,583,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-116,text,true,,161472,165,76,76,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,195,0,118
1624645283378,9,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-199,bin,true,,38483,133,80,80,http://localhost:8082/img/choonzimg.png,9,0,0
1624645283386,12,Create Request-5,200,,jp@gc - Stress Ultimate Thread Group 1-195,text,true,,1245,128,84,84,http://localhost:8082/js/mutual.js,12,0,0
1624645283378,7,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-116,bin,true,,38483,133,76,76,http://localhost:8082/img/choonzimg.png,6,0,0
1624645283388,12,Create Request-5,200,,jp@gc - Stress Ultimate Thread Group 1-199,text,true,,1245,128,80,80,http://localhost:8082/js/mutual.js,12,0,0
