timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624680886431,3973,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-193,text,true,,400843,1454,101,101,http://localhost:8082/createalbum.html,9,0,1
1624680886121,4074,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-58,text,true,,400851,1454,96,96,http://localhost:8082/createalbum.html,5,0,2
1624680886246,3923,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-194,text,true,,400843,1454,96,96,http://localhost:8082/createalbum.html,2,0,1
1624680886431,9,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-193,text,true,,4825,132,101,101,http://localhost:8082/createalbum.html,9,0,1
1624680886121,5,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-58,text,true,,4825,132,96,96,http://localhost:8082/createalbum.html,5,0,2
1624680886246,2,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-194,text,true,,4825,132,96,96,http://localhost:8082/createalbum.html,2,0,1
1624680886442,27,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-193,text,true,,1567,130,101,101,http://localhost:8082/css/tracks.css,27,0,0
1624680886128,4,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-58,text,true,,1567,130,96,96,http://localhost:8082/css/tracks.css,4,0,0
1624680886249,2,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-194,text,true,,1567,130,96,96,http://localhost:8082/css/tracks.css,2,0,0
1624680886510,232,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-193,text,true,,32162,168,101,101,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,225,0,140
1624680886133,488,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-58,text,true,,32162,168,96,96,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,473,0,380
1624680886252,354,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-194,text,true,,32170,168,96,96,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,324,0,256
