timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624652032437,7019,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-39,text,true,,400833,1454,196,196,http://localhost:8082/createalbum.html,4,0,1
1624652032437,4,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-39,text,true,,4825,132,196,196,http://localhost:8082/createalbum.html,4,0,1
1624652032442,2,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-39,text,true,,1567,130,196,196,http://localhost:8082/css/tracks.css,2,0,0
1624652032445,1360,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-39,text,true,,32162,168,196,196,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,1342,0,1280
1624652033805,718,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-39,text,true,,161472,165,196,196,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,369,0,292
1624652034523,2,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-39,bin,true,,38483,133,196,196,http://localhost:8082/img/choonzimg.png,1,0,0
1624652034525,1,Create Request-5,200,,jp@gc - Stress Ultimate Thread Group 1-39,text,true,,1245,128,196,196,http://localhost:8082/js/mutual.js,1,0,0
1624652034526,1,Create Request-6,200,,jp@gc - Stress Ultimate Thread Group 1-39,text,true,,4821,133,196,196,http://localhost:8082/js/createalbum.js,1,0,0
1624652034528,1874,Create Request-7,200,OK,jp@gc - Stress Ultimate Thread Group 1-39,text,true,,72862,141,196,196,https://code.jquery.com/jquery-3.5.1.slim.min.js,1273,0,819
1624652036403,2145,Create Request-8,200,OK,jp@gc - Stress Ultimate Thread Group 1-39,text,true,,22193,161,196,196,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,2102,0,1359
1624652038547,908,Create Request-9,200,OK,jp@gc - Stress Ultimate Thread Group 1-39,text,true,,61203,163,196,196,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,870,0,0
1624652033595,6608,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-81,text,true,,400841,1454,195,195,http://localhost:8082/createalbum.html,2,0,1
1624652033595,2,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-81,text,true,,4825,132,195,195,http://localhost:8082/createalbum.html,2,0,1
1624652033598,1,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-81,text,true,,1567,130,195,195,http://localhost:8082/css/tracks.css,1,0,0
1624652033600,213,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-81,text,true,,32162,168,195,195,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,195,0,126
1624652033814,896,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-81,text,true,,161472,165,195,195,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,411,0,317
1624652034711,3,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-81,bin,true,,38483,133,195,195,http://localhost:8082/img/choonzimg.png,3,0,0
1624652034715,1,Create Request-5,200,,jp@gc - Stress Ultimate Thread Group 1-81,text,true,,1245,128,195,195,http://localhost:8082/js/mutual.js,1,0,0
