timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624681040245,3351,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,400851,1454,74,74,http://localhost:8082/createalbum.html,3,0,1
1624681040245,3,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,4825,132,74,74,http://localhost:8082/createalbum.html,3,0,1
1624681040250,2,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,1567,130,74,74,http://localhost:8082/css/tracks.css,2,0,0
1624681040379,456,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,32162,168,74,74,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,437,0,386
1624681040865,587,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,161480,165,74,74,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,271,0,217
1624681041453,2,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-119,bin,true,,38483,133,74,74,http://localhost:8082/img/choonzimg.png,2,0,0
1624681041456,2,Create Request-5,200,,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,1245,128,74,74,http://localhost:8082/js/mutual.js,1,0,0
1624681041458,1,Create Request-6,200,,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,4821,133,74,74,http://localhost:8082/js/createalbum.js,1,0,0
1624681041460,770,Create Request-7,200,OK,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,72862,141,74,74,https://code.jquery.com/jquery-3.5.1.slim.min.js,503,0,374
1624681042230,1121,Create Request-8,200,OK,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,22194,161,74,74,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,1049,0,882
1624681043351,245,Create Request-9,200,OK,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,61212,163,74,74,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,223,0,0
1624681040160,3524,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-199,text,true,,400843,1454,76,76,http://localhost:8082/createalbum.html,5,0,1
1624681040130,3528,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-120,text,true,,400843,1454,75,75,http://localhost:8082/createalbum.html,35,0,23
1624681040411,3141,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-197,text,true,,400851,1454,72,72,http://localhost:8082/createalbum.html,3,0,1
1624681040130,37,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-120,text,true,,4825,132,75,75,http://localhost:8082/createalbum.html,35,0,23
1624681040411,3,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-197,text,true,,4825,132,72,72,http://localhost:8082/createalbum.html,3,0,1
1624681040205,3,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-120,text,true,,1567,130,75,75,http://localhost:8082/css/tracks.css,3,0,0
1624681040416,3,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-197,text,true,,1567,130,72,72,http://localhost:8082/css/tracks.css,3,0,0
1624681040160,7,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-199,text,true,,4825,132,76,76,http://localhost:8082/createalbum.html,5,0,1
1624681040380,430,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-120,text,true,,32170,168,75,75,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,420,0,379
1624681040420,412,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-197,text,true,,32162,168,72,72,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,392,0,347
1624681040162,3496,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-60,text,true,,400843,1454,75,75,http://localhost:8082/createalbum.html,3,0,1
1624681040868,655,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-120,text,true,,161472,165,75,75,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,304,0,230
1624681040866,228,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-197,text,true,,161480,165,72,72,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,168,0,142
1624681040162,5,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-60,text,true,,4825,132,75,75,http://localhost:8082/createalbum.html,3,0,1
1624681041524,2,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-120,bin,true,,38483,133,75,75,http://localhost:8082/img/choonzimg.png,2,0,0
1624681041305,3,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-197,bin,true,,38483,133,72,72,http://localhost:8082/img/choonzimg.png,3,0,0
