timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624680179657,3819,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-20,text,true,,400811,1454,86,86,http://localhost:8082/createalbum.html,3,0,1
1624680179488,4062,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,400843,1454,86,86,http://localhost:8082/createalbum.html,3,0,1
1624680179657,3,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-20,text,true,,4825,132,86,86,http://localhost:8082/createalbum.html,3,0,1
1624680179488,3,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,4825,132,86,86,http://localhost:8082/createalbum.html,3,0,1
1624680179662,3,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-20,text,true,,1567,130,86,86,http://localhost:8082/css/tracks.css,3,0,0
1624680179493,1,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,1567,130,86,86,http://localhost:8082/css/tracks.css,1,0,0
1624680180211,3235,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-115,text,true,,400850,1454,86,86,http://localhost:8082/createalbum.html,5,0,1
1624680179621,544,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,32162,168,86,86,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,540,0,490
1624680180211,5,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-115,text,true,,4825,132,86,86,http://localhost:8082/createalbum.html,5,0,1
1624680180281,903,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,161472,165,86,86,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,323,0,237
1624680181185,3,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-119,bin,true,,38483,133,86,86,http://localhost:8082/img/choonzimg.png,3,0,0
1624680181188,2,Create Request-5,200,,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,1245,128,86,86,http://localhost:8082/js/mutual.js,2,0,0
1624680181190,2,Create Request-6,200,,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,4821,133,86,86,http://localhost:8082/js/createalbum.js,2,0,0
1624680181193,739,Create Request-7,200,OK,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,72862,141,86,86,https://code.jquery.com/jquery-3.5.1.slim.min.js,496,0,315
1624680181933,1007,Create Request-8,200,OK,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,22194,161,86,86,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,979,0,662
1624680182940,610,Create Request-9,200,OK,jp@gc - Stress Ultimate Thread Group 1-119,text,true,,61212,163,86,86,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,346,0,0
1624680179377,4114,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-200,text,true,,400811,1454,86,86,http://localhost:8082/createalbum.html,30,0,20
1624680179377,33,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-200,text,true,,4825,132,86,86,http://localhost:8082/createalbum.html,30,0,20
1624680179450,3,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-200,text,true,,1567,130,86,86,http://localhost:8082/css/tracks.css,3,0,0
1624680179621,607,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-200,text,true,,32162,168,86,86,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,604,0,553
1624680180276,983,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-200,text,true,,161472,165,86,86,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,463,0,292
1624680181260,2,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-200,bin,true,,38483,133,86,86,http://localhost:8082/img/choonzimg.png,2,0,0
1624680181262,1,Create Request-5,200,,jp@gc - Stress Ultimate Thread Group 1-200,text,true,,1245,128,86,86,http://localhost:8082/js/mutual.js,1,0,0
1624680181263,2,Create Request-6,200,,jp@gc - Stress Ultimate Thread Group 1-200,text,true,,4821,133,86,86,http://localhost:8082/js/createalbum.js,2,0,0
1624680181265,879,Create Request-7,200,OK,jp@gc - Stress Ultimate Thread Group 1-200,text,true,,72838,141,86,86,https://code.jquery.com/jquery-3.5.1.slim.min.js,602,0,338
1624680182145,707,Create Request-8,200,OK,jp@gc - Stress Ultimate Thread Group 1-200,text,true,,22194,161,86,86,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,678,0,438
1624680182852,639,Create Request-9,200,OK,jp@gc - Stress Ultimate Thread Group 1-200,text,true,,61204,163,86,86,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,279,0,0
1624680179666,563,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-20,text,true,,32162,168,86,86,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,557,0,508
1624680180269,975,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-20,text,true,,161472,165,86,86,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,410,0,285
1624680181245,2,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-20,bin,true,,38483,133,86,86,http://localhost:8082/img/choonzimg.png,2,0,0
1624680181247,2,Create Request-5,200,,jp@gc - Stress Ultimate Thread Group 1-20,text,true,,1245,128,86,86,http://localhost:8082/js/mutual.js,2,0,0
1624680181250,2,Create Request-6,200,,jp@gc - Stress Ultimate Thread Group 1-20,text,true,,4821,133,86,86,http://localhost:8082/js/createalbum.js,2,0,0
1624680180217,3,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-115,text,true,,1567,130,86,86,http://localhost:8082/css/tracks.css,3,0,0
1624680181252,856,Create Request-7,200,OK,jp@gc - Stress Ultimate Thread Group 1-20,text,true,,72838,141,86,86,https://code.jquery.com/jquery-3.5.1.slim.min.js,594,0,323
1624680180222,200,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-115,text,true,,32162,168,86,86,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,183,0,136
1624680182109,725,Create Request-8,200,OK,jp@gc - Stress Ultimate Thread Group 1-20,text,true,,22194,161,86,86,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,692,0,458
1624680180423,791,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-115,text,true,,161479,165,86,86,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,184,0,104
1624680182834,642,Create Request-9,200,OK,jp@gc - Stress Ultimate Thread Group 1-20,text,true,,61204,163,86,86,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,272,0,0
