timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624678706495,5742,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-57,text,true,,400835,1454,136,136,http://localhost:8082/createalbum.html,5,0,1
1624678706495,5,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-57,text,true,,4825,132,136,136,http://localhost:8082/createalbum.html,5,0,1
1624678706501,6,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-57,text,true,,1567,130,136,136,http://localhost:8082/css/tracks.css,6,0,0
1624678705954,6282,Create Request,200,,jp@gc - Stress Ultimate Thread Group 1-59,text,true,,400835,1454,136,136,http://localhost:8082/createalbum.html,5,0,1
1624678705954,5,Create Request-0,200,,jp@gc - Stress Ultimate Thread Group 1-59,text,true,,4825,132,136,136,http://localhost:8082/createalbum.html,5,0,1
1624678705962,30,Create Request-1,200,,jp@gc - Stress Ultimate Thread Group 1-59,text,true,,1567,130,136,136,http://localhost:8082/css/tracks.css,30,0,0
1624678706020,1012,Create Request-2,200,OK,jp@gc - Stress Ultimate Thread Group 1-59,text,true,,32162,168,136,136,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,1010,0,906
1624678707142,553,Create Request-3,200,OK,jp@gc - Stress Ultimate Thread Group 1-59,text,true,,161472,165,136,136,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,246,0,207
1624678707908,5,Create Request-4,200,,jp@gc - Stress Ultimate Thread Group 1-59,bin,true,,38483,133,136,136,http://localhost:8082/img/choonzimg.png,5,0,0
1624678707913,14,Create Request-5,200,,jp@gc - Stress Ultimate Thread Group 1-59,text,true,,1245,128,136,136,http://localhost:8082/js/mutual.js,14,0,0
1624678707927,4,Create Request-6,200,,jp@gc - Stress Ultimate Thread Group 1-59,text,true,,4821,133,136,136,http://localhost:8082/js/createalbum.js,4,0,0
